cluster,n_patients,feature,roi,rho,p,n,signed_log10p,subcortical
1,14,Z,Left_VentralDC,-0.02857142857142857,0.9227613765698746,14,-0.03491059175564594,True
1,14,Z,Right_Accumbens_area,-0.4021978021978022,0.15397442954140356,14,-0.8125513962487783,True
1,14,Z,Right_Amygdala,-0.1956043956043956,0.5027500912969567,14,-0.29864784186546034,True
1,14,Z,Right_Caudate,-0.27912087912087913,0.33384507719455425,14,-0.47645502339336615,True
1,14,Z,Right_Cerebellum_Cortex,-0.3406593406593406,0.23331605103682404,14,-0.6320553827796105,True
1,14,Z,Right_Hippocampus,-0.1824175824175824,0.5325088185186945,14,-0.27367319577223737,True
1,14,Z,Right_Pallidum,-0.2967032967032967,0.30296672383870205,14,-0.5186050693420703,True
1,14,Z,Right_Putamen,-0.1912087912087912,0.5125839704707784,14,-0.2902349791992541,True
1,14,Z,Right_Thalamus,-0.15164835164835166,0.6047905984521367,14,-0.21839496861811628,True
1,14,Z,Right_VentralDC,-0.2879120879120879,0.3181928710258003,14,-0.4973095547612142,True
1,14,Z,ctx_lh_bankssts,-0.1032967032967033,0.725282211088945,14,-0.13949297429704627,False
1,14,Z,ctx_lh_caudalanteriorcingulate,-0.07692307692307693,0.7938058883554533,14,-0.10028568387330485,False
1,14,Z,ctx_lh_caudalmiddlefrontal,-0.3010989010989011,0.2955144656072166,14,-0.529421255291602,False
1,14,Z,ctx_lh_cuneus,-0.16923076923076924,0.5630172739962107,14,-0.2494782803064714,False
1,14,Z,ctx_lh_entorhinal,-0.1076923076923077,0.7140308087262492,14,-0.14628304904855735,False
1,14,Z,ctx_lh_frontalpole,-0.059340659340659345,0.8403017626906826,14,-0.07556472544161545,False
1,14,Z,ctx_lh_fusiform,0.04175824175824176,0.8872869731890637,14,0.05193589458117909,False
1,14,Z,ctx_lh_inferiorparietal,-0.17362637362637365,0.5527669411422413,14,-0.2574579383343298,False
1,14,Z,ctx_lh_inferiortemporal,0.06813186813186813,0.8169838797817922,14,0.08778651261187237,False
1,14,Z,ctx_lh_insula,-0.15604395604395604,0.594234700580851,14,-0.2260419909861472,False
1,14,Z,ctx_lh_isthmuscingulate,-0.1164835164835165,0.6916912502331573,14,-0.16008771803173125,False
1,14,Z,ctx_lh_lateraloccipital,-0.03736263736263736,0.899093096973967,14,-0.04619533673311713,False
1,14,Z,ctx_lh_lateralorbitofrontal,0.18681318681318684,0.5225040123791591,14,0.2819103701978894,False
1,14,Z,ctx_lh_lingual,-0.3142857142857143,0.27380490296286775,14,-0.5625587793187067,False
1,14,Z,ctx_lh_medialorbitofrontal,0.054945054945054944,0.8520077036323677,14,0.06955647843763954,False
1,14,Z,ctx_lh_middletemporal,0.21318681318681318,0.4643028200397442,14,0.33319867854795404,False
1,14,Z,ctx_lh_paracentral,-0.7010989010989012,0.005211861769946939,14,-2.283007111252885,False
1,14,Z,ctx_lh_parahippocampal,-0.18681318681318684,0.5225040123791591,14,-0.2819103701978894,False
1,14,Z,ctx_lh_parsopercularis,0.002197802197802198,0.9940505286658998,14,0.002591539382322533,False
